연도,날짜,팀,G,투구수,IP,타자수,피안타,피홈런,볼넷,삼진,실점,자책,lgIP,lgERA,fip_const,home_stadium,FinalPF,ERA,RA9,WHIP,K/9,BB/9,HR/9,K%,BB%,FIP,ERA+,ERA-,IP_O
2026,2026-04-10,LG,61.0,1739.0,98.0,437.0,109.0,8.0,44.0,82.0,47.0,46.0,980.3333333333334,4.966678000680041,3.5651139068344104,잠실,0.9512583942824044,4.224489795918367,4.316326530612245,1.5612244897959184,7.530612244897959,4.040816326530612,0.7346938775510204,0.1876430205949656,0.1006864988558352,4.299807784385431,112.10455049682623,89.20244500050964,98.0
2026,2026-04-11,LG,66.0,1891.0,107.0,478.0,122.0,9.0,46.0,90.0,50.0,49.0,1069.3333333333333,4.864713216957607,3.6013092269326688,잠실,0.9512583942824044,4.121495327102804,4.205607476635514,1.5700934579439252,7.570093457943925,3.869158878504673,0.7570093457943925,0.1882845188284518,0.0962343096234309,4.302243806371921,112.54700268223516,88.85176647692671,107.0
2026,2026-04-12,LG,70.0,2027.0,116.0,515.0,130.0,9.0,49.0,94.0,51.0,50.0,1155.3333333333333,4.759665320253895,3.5600115406809003,잠실,0.9512583942824044,3.8793103448275854,3.956896551724138,1.543103448275862,7.293103448275862,3.801724137931034,0.6982758620689655,0.1825242718446602,0.0951456310679611,4.215183954474004,116.99125337756388,85.4764754740012,116.0
2026,2026-03-28,NC,6.0,147.0,9.0,34.0,3.0,0.0,3.0,4.0,0.0,0.0,92.0,5.869565217391305,4.445652173913044,창원,1.0100284809306723,0.0,0.0,0.6666666666666666,4.0,3.0,0.0,0.1176470588235294,0.088235294117647,4.556763285024155,0.0,0.0,9.0
2026,2026-03-29,NC,14.0,321.0,18.0,75.0,13.0,3.0,8.0,13.0,9.0,9.0,180.0,6.0,4.011111111111111,창원,1.0100284809306723,4.5,4.5,1.1666666666666667,6.5,4.0,1.5,0.1733333333333333,0.1066666666666666,6.066666666666666,134.68400935279433,74.24786393019959,18.0
2026,2026-03-30,NC,14.0,321.0,18.0,75.0,13.0,3.0,8.0,13.0,9.0,9.0,180.0,6.0,4.011111111111111,창원,1.0100284809306723,4.5,4.5,1.1666666666666667,6.5,4.0,1.5,0.1733333333333333,0.1066666666666666,6.066666666666666,134.68400935279433,74.24786393019959,18.0
2026,2026-03-31,NC,19.0,473.0,27.0,112.0,18.0,3.0,13.0,24.0,11.0,11.0,272.0,5.525735294117647,3.871323529411765,창원,1.0100284809306723,3.6666666666666665,3.6666666666666665,1.148148148148148,8.0,4.333333333333333,1.0,0.2142857142857142,0.1160714285714285,4.982434640522875,152.2284921887741,65.69072488479549,27.0
2026,2026-04-01,NC,26.0,621.0,36.0,152.0,26.0,5.0,19.0,29.0,15.0,15.0,359.3333333333333,5.760667903525047,4.043599257884972,창원,1.0100284809306723,3.75,3.75,1.25,7.25,4.75,1.25,0.1907894736842105,0.125,5.82137703566275,155.1739699593419,64.4437981616386,36.0
2026,2026-04-02,NC,32.0,750.0,45.0,187.0,32.0,6.0,23.0,33.0,19.0,19.0,445.3333333333333,5.719311377245509,4.077844311377246,창원,1.0100284809306723,3.8,3.8,1.2222222222222223,6.6,4.6,1.2,0.1764705882352941,0.1229946524064171,5.877844311377245,152.03285270219945,65.77525727013693,45.0
2026,2026-04-03,NC,36.0,884.0,54.0,221.0,35.0,7.0,27.0,42.0,21.0,21.0,534.3333333333334,5.592014971927635,3.980661260137242,창원,1.0100284809306723,3.5,3.5,1.148148148148148,7.0,4.5,1.1666666666666667,0.1900452488687782,0.1221719457013574,5.610290889766872,161.3903564528716,61.9615708136821,54.0
2026,2026-04-04,NC,42.0,1030.0,63.0,257.0,40.0,7.0,33.0,49.0,21.0,21.0,624.3333333333334,5.477843032568073,3.8873465029364658,창원,1.0100284809306723,3.0,3.0,1.1587301587301588,7.0,4.714285714285714,1.0,0.1906614785992217,0.1284046692607003,5.347663963253926,184.4444655578844,54.21686126365061,63.0
2026,2026-04-05,NC,45.0,1129.0,71.0,289.0,47.0,7.0,35.0,51.0,24.0,24.0,711.3333333333334,5.200093720712277,3.7085285848172447,창원,1.0100284809306723,3.0422535211267605,3.0422535211267605,1.1549295774647887,6.464788732394366,4.436619718309859,0.8873239436619719,0.1764705882352941,0.1211072664359861,5.032472246789076,172.66052938688603,57.91711652634098,71.0
2026,2026-04-06,NC,45.0,1129.0,71.0,289.0,47.0,7.0,35.0,51.0,24.0,24.0,711.3333333333334,5.200093720712277,3.7085285848172447,창원,1.0100284809306723,3.0422535211267605,3.0422535211267605,1.1549295774647887,6.464788732394366,4.436619718309859,0.8873239436619719,0.1764705882352941,0.1211072664359861,5.032472246789076,172.66052938688603,57.91711652634098,71.0
2026,2026-04-07,NC,52.0,1288.0,80.0,328.0,53.0,7.0,40.0,61.0,26.0,26.0,801.3333333333334,5.031613976705491,3.697587354409318,창원,1.0100284809306723,2.925,2.925,1.1625,6.8625,4.5,0.7875,0.1859756097560975,0.1219512195121951,4.810087354409318,173.7635753585264,57.54946040542156,80.0
